product_category_name_english,count
bed_bath_table,11815
health_beauty,9922
sports_leisure,8926
furniture_decor,8667
computers_accessories,8058
housewares,7343
watches_gifts,6196
telephony,4710
garden_tools,4569
auto,4367
toys,4246
cool_stuff,3979
perfumery,3524
baby,3182
electronics,2843
stationery,2617
fashion_bags_accessories,2141
pet_shop,2023
office_furniture,1772
consoles_games,1181
luggage_accessories,1163
construction_tools_construction,951
home_appliances,788
musical_instruments,718
small_appliances,701
home_construction,634
books_general_interest,564
furniture_living_room,528
food,525
home_confort,475
drinks,386
audio,378
market_place,318
construction_tools_lights,313
kitchen_dining_laundry_garden_furniture,298
air_conditioning,292
food_drink,289
fashion_shoes,273
books_technical,269
home_appliances_2,268
industry_commerce_and_business,267
fixed_telephony,266
agro_industry_and_commerce,252
costruction_tools_garden,245
computers,220
art,219
signaling_and_security,201
construction_tools_safety,199
christmas_supplies,155
fashion_underwear_beach,144
fashion_male_clothing,144
furniture_bedroom,125
costruction_tools_tools,105
tablets_printing_image,87
small_appliances_home_oven_and_coffee,78
cine_photo,73
dvds_blu_ray,71
books_imported,62
fashio_female_clothing,47
party_supplies,46
furniture_mattress_and_upholstery,41
music,40
diapers_and_hygiene,38
flowers,33
home_comfort_2,31
fashion_sport,30
arts_and_craftmanship,24
la_cuisine,16
cds_dvds_musicals,14
fashion_childrens_clothes,8
security_and_services,2
